participacion_id,atleta_id,nombre_usado_en_evento
316,105,Gordon Lowe
317,105,Gordon Lowe
318,105,Gordon Lowe
319,105,Gordon Lowe
320,106,Harold Mahony
321,106,Harold Mahony
322,106,Harold Mahony
323,106,Harold Mahony
324,106,Harold Mahony
325,107,Theodore Mavrogordato
326,107,Theodore Mavrogordato
327,107,Theodore Mavrogordato
328,108,Anders Nielsen
329,109,Arthur Norris
330,109,Arthur Norris
331,109,Arthur Norris
332,109,Arthur Norris
333,109,Arthur Norris
334,110,James Parke
335,110,James Parke
336,111,Nick Ponting
337,111,Nick Ponting
338,111,Nick Ponting
339,112,Carl Prean
340,112,Carl Prean
341,112,Carl Prean
342,112,Carl Prean
343,112,Carl Prean
344,113,Josiah Ritchie
345,113,Josiah Ritchie
346,113,Josiah Ritchie
347,113,Josiah Ritchie
348,114,Julian Robertson
349,114,Julian Robertson
350,114,Julian Robertson
351,115,Greg Rusedski
352,115,Greg Rusedski
353,116,George Simond
354,117,Matthew Syed
355,117,Matthew Syed
356,118,Noel Turnbull
357,118,Noel Turnbull
358,118,Noel Turnbull
359,119,Archibald Warden
360,119,Archibald Warden
361,119,Archibald Warden
362,119,Archibald Warden
363,119,Archibald Warden
364,119,Archibald Warden
365,120,Patrick Wheatley
366,120,Patrick Wheatley
367,121,Chris Wilkinson
368,121,Chris Wilkinson
369,122,Max Woosnam
370,122,Max Woosnam
371,122,Max Woosnam
372,122,Max Woosnam
373,122,Max Woosnam
374,123,Dave Wright
375,124,Steffi Graf
376,124,Steffi Graf
377,124,Steffi Graf
378,124,Steffi Graf
379,124,Steffi Graf
380,125,Sylvia Hanika
381,126,Anke Huber
382,126,Anke Huber
383,126,Anke Huber
384,127,Claudia Kohde-Kilsch
385,127,Claudia Kohde-Kilsch
386,128,Dora Köring
387,128,Dora Köring
388,129,Olga Nemes
389,129,Olga Nemes
390,129,Olga Nemes
391,129,Olga Nemes
392,129,Olga Nemes
393,130,Katja Nolten
394,130,Katja Nolten
395,131,Barbara Rittner
396,132,Elke Schall
397,132,Elke Schall
398,132,Elke Schall
399,132,Elke Schall
400,132,Elke Wosik
401,132,Elke Wosik
402,132,Elke Schall
403,132,Elke Schall
403,116092,Jiaduo Wu
403,116099,Zhenqi Barthel
403,150525,
403,210183,
403,230643,
403,269157,
404,133,Katrin Schmidt
405,133,Katrin Schmidt
406,133,Katrin Schmidt
407,134,Jie Schöpp
408,134,Jie Schöpp
409,134,Jie Schöpp
410,134,Jie Schöpp
411,134,Jie Schöpp
412,135,Karen Stechmann
413,135,Karen Stechmann
414,135,Karen Stechmann
415,136,Nicole Struse
416,136,Nicole Struse
417,136,Nicole Struse
418,136,Nicole Struse
419,136,Nicole Struse
420,136,Nicole Struse
421,137,Kerstin Ubben
422,137,Kerstin Ubben
423,137,Kerstin Ubben
424,138,Boris Becker
425,138,Boris Becker
426,139,Georg Böhm
427,139,Georg Böhm
428,140,Steffen Fetzner
429,140,Steffen Fetzner
430,140,Steffen Fetzner
431,140,Steffen Fetzner
432,141,Peter Franz
433,141,Peter Franz
434,142,Stefan Frey
435,143,Otto Froitzheim
436,143,Otto Froitzheim
437,143,Otto Froitzheim
438,143,Otto Froitzheim
439,144,Marc-Kevin Goellner
440,144,Marc-Kevin Goellner
441,145,Hugo Hardy
442,145,Hugo Hardy
443,145,Hugo Hardy
444,146,Michael Helber
445,146,Michael Helber
446,146,Michael Helber
447,147,Luis Maria Heyden
448,147,Luis Maria Heyden
449,148,Eric Jelen
450,148,Eric Jelen
451,149,Michael Keck
452,149,Michael Keck
453,149,Michael Keck
454,150,Oskar Kreuzer
455,150,Oskar Kreuzer
456,150,Oskar Kreuzer
457,150,Oskar Kreuzer
458,150,Oskar Kreuzer
459,151,Stephan Kuhl
460,151,Stephan Kuhl
461,152,Paul Lindpaintner
462,152,Paul Lindpaintner
463,153,Oliver Pongratz
464,154,David Prinosil
465,154,David Prinosil
466,154,David Prinosil
467,154,David Prinosil
468,155,Friedrich-Wilhelm Rahe
468,18836,Alfons Brehm
468,18846,Elard Dauelsberg
468,18848,Franz Diederichsen
468,18855,Carl Ebert
468,18860,Jules Fehr
468,18869,Mauricio Galvao
468,18870,Raulino Galvao
468,18919,Fritz Möding
468,18949,Albert Stüdemann
468,18957,Friedrich Uhl
468,154549,
468,164828,
468,166760,
468,169048,
468,169051,
468,194282,
468,215792,
468,220019,
469,155,Friedrich-Wilhelm Rahe
470,155,Friedrich-Wilhelm Rahe
471,156,Jürgen Rebel
472,157,Jörg Roßkopf
473,157,Jörg Roßkopf
474,157,Jörg Roßkopf
475,157,Jörg Roßkopf
476,157,Jörg Roßkopf
477,157,Jörg Roßkopf
478,157,Jörg Roßkopf
479,157,Jörg Roßkopf
480,157,Jörg Roßkopf
481,157,Jörg Roßkopf
482,158,Heinrich Schomburgk
483,158,Heinrich Schomburgk
484,158,Heinrich Schomburgk
485,158,Heinrich Schomburgk
486,158,Heinrich Schomburgk
487,159,Robert Spies
488,159,Robert Spies
489,160,Carl-Uwe Steeb
490,160,Carl-Uwe Steeb
491,160,Carl-Uwe Steeb
492,161,Michael Stich
493,161,Michael Stich
494,162,Fritz Traun
495,162,Fritz Traun
496,162,Fritz Traun
497,162,Fritz Traun
498,162,Fritz Traun
499,162,Fritz Traun
500,162,Fritz Traun
501,162,Fritz Traun
502,162,Fritz Traun
503,162,Fritz Traun
504,163,Fritz von Bissing
505,164,Otto von Müller
506,164,Otto von Müller
507,164,Otto von Müller
508,165,Helen Amankwah
509,165,Helen Amankwah
510,166,Patricia Offel
511,167,Patience Opokua
512,167,Patience Opokua
513,168,Winifred Addy
514,169,Christina Papadaki
515,169,Christina Papadaki
516,169,Christina Papadaki
517,169,Christina Papadaki
518,170,Olga Tsarmpopoulou
519,171,Lena Valaoritou
520,171,Lena Valaoritou
521,171,Lena Valaoritou
522,172,Christina Zachariadou
523,172,Christina Zachariadou
524,172,Christina Zachariadou
525,173,Aristidis Akratopoulos
526,173,Aristidis Akratopoulos
527,174,Kostas Akratopoulos
528,174,Kostas Akratopoulos
529,175,Tasos Bavelas
530,175,Tasos Bavelas
531,175,Tasos Bavelas
532,176,Konstantinos Efremoglou
533,177,Georgios Kalovelonis
534,177,Georgios Kalovelonis
535,178,Demetrius Casdagli
536,178,Demetrius Casdagli
537,179,Kallinikos Kreangka
538,179,Kallinikos Kreangka
539,179,Kallinikos Kreangka
540,179,Kallinikos Kreangka
541,179,Kallinikos Kreangka
542,179,Kallinikos Kreangka
543,179,Kallinikos Kreangka
543,185,Daniel Tsiokas
543,106418,Panagiotis Gkionis
543,170412,
544,179,Kallinikos Kreangka
545,180,Pantelis Papadopoulos
546,180,Pantelis Papadopoulos
547,180,Pantelis Papadopoulos
548,181,Konstantinos Paspatis
549,181,Konstantinos Paspatis
550,182,Dimitrios Petrokokkinos
551,182,Dimitrios Petrokokkinos
552,183,D. Frangopoulos
553,183,D. Frangopoulos
554,183,D. Frangopoulos
555,183,D. Frangopoulos
556,184,Evangelos Rallis
557,184,Evangelos Rallis
558,185,Daniel Tsiokas
559,185,Daniel Tsiokas
560,185,Daniel Tsiokas
561,186,Avgoustos Zerlentis
562,186,Avgoustos Zerlentis
563,186,Avgoustos Zerlentis
564,186,Avgoustos Zerlentis
565,187,Kenneth Erichsen
566,188,Ronald Agénor
567,188,Ronald Agénor
568,188,Ronald Agénor
569,189,Emmy Chan
570,190,Chan Suk Yuen
571,191,Chan Tan Lui
572,191,Chan Tan Lui
573,191,Chan Tan Lui
574,191,Chan Tan Lui
575,192,Chai Po Wa
576,192,Chai Po Wa
577,192,Chai Po Wa
578,192,Chai Po Wa
579,193,Hui So Hung
580,193,Hui So Hung
581,194,Mok Ka Sha
582,194,Mok Ka Sha
583,195,Wong Chun Fan
584,196,Chan Kin Ngai
585,197,Chan Siu Kwong
586,197,Chan Siu Kwong
587,198,Chan Chi Ming
588,199,Chan Kong Wah
589,200,Tim He
590,200,Tim He
591,201,Liu Fuk Man
592,201,Liu Fuk Man
593,202,Lo Chuen Tsung
594,202,Lo Chuen Tsung
595,202,Lo Chuen Tsung
596,202,Lo Chuen Tsung
597,202,Lo Chuen Tsung
598,203,Ng Pak Kum
599,204,Vong Lu Veng
600,204,Vong Lu Veng
601,205,Wong Wai Lap
602,206,Csilla Bátorfi
603,206,Csilla Bátorfi
604,206,Csilla Bátorfi
605,206,Csilla Bátorfi
606,206,Csilla Bátorfi
607,206,Csilla Bátorfi
608,206,Csilla Bátorfi
609,206,Csilla Bátorfi
610,206,Csilla Bátorfi
611,207,Virág Csurgó
612,207,Virág Csurgó
613,208,Andrea Dakó
614,208,Andrea Dakó
615,209,Csilla Fórián
616,209,Csilla Fórián
617,210,Andrea Harsági
618,211,Ilona Váradi
619,211,Ilona Váradi
620,211,Ilona Váradi
621,212,Andrea Temesvári
622,212,Andrea Temesvári
623,213,Krisztina Tóth
624,213,Krisztina Tóth
625,213,Krisztina Tóth
626,213,Krisztina Tóth
627,213,Krisztina Tóth
628,213,Krisztina Tóth
629,213,Krisztina Tóth
630,213,Krisztina Tóth
631,214,Edit Urbán
632,214,Edit Urbán
633,215,Zoltán Bátorfi
634,216,Lajos Göncz
635,216,Lajos Göncz
636,217,Zsolt Harczi
637,218,Kálmán Kirchmayer
638,218,Kálmán Kirchmayer
639,219,Tibor Klampár
640,219,Tibor Klampár
641,220,Zsolt Kriston
642,221,Gábor Köves
643,221,Gábor Köves
644,221,Gábor Köves
645,222,Dezső Lauber
646,222,Dezső Lauber
647,222,Dezső Lauber
648,223,László Markovits
649,223,László Markovits
650,223,László Markovits
651,224,Károly Németh
652,225,Sándor Noszály
653,225,Sándor Noszály
654,225,Sándor Noszály
655,226,Momcsilló Tapavicza
656,226,Momcsilló Tapavicza
657,226,Momcsilló Tapavicza
658,226,Momcsilló Tapavicza
659,226,Momcsilló Tapavicza
660,226,Momcsilló Tapavicza
661,227,Ede Tóth
662,227,Ede Tóth
663,227,Ede Tóth
664,227,Ede Tóth
665,228,Leó Baráth
666,228,Leó Baráth
667,229,Aurél Kelemen
668,229,Aurél Kelemen
669,229,Aurél Kelemen
670,229,Aurél Kelemen
671,229,Aurél Kelemen
672,230,Béla Kehrling
673,230,Béla Kehrling
674,230,Béla Kehrling
675,230,Béla Kehrling
676,230,Béla Kehrling
677,231,Jenő Zsigmondy
678,231,Jenő Zsigmondy
679,231,Jenő Zsigmondy
